"File","Sheet","Row","Source","Type","Field","Value","Message"
"dispatch","Sheet1","477","260300157","DISPATCH_WITHOUT_SALES_ORDER","pboNo","NCLH30000651","Dispatch 260300157 has no matching Sales Order (searched by PBO NCLH30000651, order 251200037, invoice 900003543, chassis MCCJY7PRMTN102940, engine SQRH4J15AGSM61260); it will be imported as a stock dispatch against the physical vehicle only — no Customer, Booking, Sales Order or Seller will be created."
"dispatch","Sheet1","479","260300159","DISPATCH_WITHOUT_SALES_ORDER","pboNo","NCLH30000611","Dispatch 260300159 has no matching Sales Order (searched by PBO NCLH30000611, order 251100281, invoice 900003538, chassis MCCJY7PRMTN102652, engine SQRH4J15AGSM60457); it will be imported as a stock dispatch against the physical vehicle only — no Customer, Booking, Sales Order or Seller will be created."
"dispatch","Sheet1","480","260300160","DISPATCH_WITHOUT_SALES_ORDER","pboNo","NCLH30000627","Dispatch 260300160 has no matching Sales Order (searched by PBO NCLH30000627, order 251200012, invoice 900003539, chassis MCCJY7PRMTN102936, engine SQRH4J15AGSM60575); it will be imported as a stock dispatch against the physical vehicle only — no Customer, Booking, Sales Order or Seller will be created."
"dispatch","Sheet1","481","260300161","DISPATCH_WITHOUT_SALES_ORDER","pboNo","NCLH30000391","Dispatch 260300161 has no matching Sales Order (searched by PBO NCLH30000391, order 251100065, invoice 900003540, chassis MCCJY7PRMTN102912, engine SQRH4J15AGTA60326); it will be imported as a stock dispatch against the physical vehicle only — no Customer, Booking, Sales Order or Seller will be created."
"dispatch","Sheet1","497","260300188","DISPATCH_WITHOUT_SALES_ORDER","pboNo","NCLH30000587","Dispatch 260300188 has no matching Sales Order (searched by PBO NCLH30000587, order 251100257, invoice 900003774, chassis MCCJY7PRMTN102935, engine SQRH4J15AGSM60670); it will be imported as a stock dispatch against the physical vehicle only — no Customer, Booking, Sales Order or Seller will be created."
"dispatch","Sheet1","500","260500018","DISPATCH_WITHOUT_SALES_ORDER","pboNo","NCLH30000616","Dispatch 260500018 has no matching Sales Order (searched by PBO NCLH30000616, order 251200001, invoice 900003661, chassis MCCJY7PRMTN101187, engine SQRH4J15AGSL60879); it will be imported as a stock dispatch against the physical vehicle only — no Customer, Booking, Sales Order or Seller will be created."
"dispatch","Sheet1","512","260400010","DISPATCH_WITHOUT_SALES_ORDER","pboNo","NCLH30000650","Dispatch 260400010 has no matching Sales Order (searched by PBO NCLH30000650, order 251200033, invoice 900003877, chassis MCCJY7PRMTN102906, engine SQRH4J15AGSM60409); it will be imported as a stock dispatch against the physical vehicle only — no Customer, Booking, Sales Order or Seller will be created."
"dispatch","Sheet1","515","260400013","DISPATCH_WITHOUT_SALES_ORDER","pboNo","","Dispatch 260400013 has no matching Sales Order (searched by chassis MCCJY7PRMTN102765, engine SQRH4J15AGSM61248); it will be imported as a stock dispatch against the physical vehicle only — no Customer, Booking, Sales Order or Seller will be created."
"dispatch","Sheet1","519","260400022","DISPATCH_WITHOUT_SALES_ORDER","pboNo","NCLH30000371","Dispatch 260400022 has no matching Sales Order (searched by PBO NCLH30000371, order 251100049, invoice 900004045, chassis MCCJY7PRMTN102394, engine SQRH4J15AGSM61357); it will be imported as a stock dispatch against the physical vehicle only — no Customer, Booking, Sales Order or Seller will be created."
"dispatch","Sheet1","537","260400037","DISPATCH_WITHOUT_SALES_ORDER","pboNo","NCLH30000750","Dispatch 260400037 has no matching Sales Order (searched by PBO NCLH30000750, order 260100090, invoice 900004242, chassis MCCJV7HRMTN201467, engine SQRH4J15BTTBJ0346); it will be imported as a stock dispatch against the physical vehicle only — no Customer, Booking, Sales Order or Seller will be created."
"dispatch","Sheet1","580","260400079","DISPATCH_WITHOUT_SALES_ORDER","pboNo","NCLH30000473","Dispatch 260400079 has no matching Sales Order (searched by PBO NCLH30000473, order 251100146, invoice 900004596, chassis MCCJY7PRMTN102957, engine SQRH4J15AGSM60560); it will be imported as a stock dispatch against the physical vehicle only — no Customer, Booking, Sales Order or Seller will be created."
"dispatch","Sheet1","581","260400080","DISPATCH_WITHOUT_SALES_ORDER","pboNo","NCLH30000542","Dispatch 260400080 has no matching Sales Order (searched by PBO NCLH30000542, order 251100214, invoice 900004597, chassis MCCJY7PRMTN102980, engine SQRH4J15AGTA60386); it will be imported as a stock dispatch against the physical vehicle only — no Customer, Booking, Sales Order or Seller will be created."
"dispatch","Sheet1","588","260400087","DISPATCH_WITHOUT_SALES_ORDER","pboNo","NCLH30000196","Dispatch 260400087 has no matching Sales Order (searched by PBO NCLH30000196, order 251000085, invoice 900004668, chassis MCCJY7PRMTN102959, engine SQRH4J15AGTA60460); it will be imported as a stock dispatch against the physical vehicle only — no Customer, Booking, Sales Order or Seller will be created."
"dispatch","Sheet1","589","260400088","DISPATCH_WITHOUT_SALES_ORDER","pboNo","NCLH30000533","Dispatch 260400088 has no matching Sales Order (searched by PBO NCLH30000533, order 251100205, invoice 900004670, chassis MCCJY7PRMTN102948, engine SQRH4J15AGTA60006); it will be imported as a stock dispatch against the physical vehicle only — no Customer, Booking, Sales Order or Seller will be created."
"dispatch","Sheet1","591","260400090","DISPATCH_WITHOUT_SALES_ORDER","pboNo","NCLH30000563","Dispatch 260400090 has no matching Sales Order (searched by PBO NCLH30000563, order 251100234, invoice 900004669, chassis MCCJY7PRMTN102956, engine SQRH4J15AGTA60114); it will be imported as a stock dispatch against the physical vehicle only — no Customer, Booking, Sales Order or Seller will be created."
"dispatch","Sheet1","592","260400091","DISPATCH_WITHOUT_SALES_ORDER","pboNo","NCLH30000538","Dispatch 260400091 has no matching Sales Order (searched by PBO NCLH30000538, order 251100210, invoice 900004695, chassis MCCJY7PRMTN102972, engine SQRH4J15AGTA60459); it will be imported as a stock dispatch against the physical vehicle only — no Customer, Booking, Sales Order or Seller will be created."
